id,height,weight,position,firstseason,lastseason,games,pts,reb,ast,stl,fga,fgm,fta,ftm
OSULDA01,208,113,C,1990,1995,45,80,65,10,4,68,27,35,26
OTHICMA01,188,75,G,1992,1992,4,8,2,7,1,5,3,2,0
OTTENDO01,208,109,C,1949,1952,219,2294,928,297,0,1850,660,1280,974
OTTENMA01,201,100,F,1949,1949,59,142,0,36,0,155,51,81,40
OUTLABO01,203,95,F,1993,2007,914,4969,4452,1441,856,3537,2006,1834,954
OVERTCL01,188,88,G,1952,1952,15,58,25,15,0,75,19,30,20
OVERTDO01,190,86,G,1992,2003,499,2253,654,1038,202,2134,880,472,385
OWENSAN01,193,91,G,2005,2007,54,192,68,55,18,182,67,52,37
OWENSBI01,203,100,F,1991,2000,600,7026,4016,1704,566,5968,2873,1904,1198
OWENSCH01,201,111,F,2002,2002,1,4,1,0,0,3,2,0,0
OWENSED01,201,95,F,1977,1977,8,21,10,5,1,21,9,6,3
OWENSJA01,190,84,G,1949,1951,90,470,102,137,0,540,169,215,132
OWENSJI01,196,91,F,1973,1974,58,177,52,64,21,184,77,30,23
OWENSKE01,201,102,F,1991,1991,20,26,15,3,5,32,9,10,8
OWENSTO01,208,98,C,1971,1982,488,5612,3010,984,230,4335,2201,1582,1208
OWESRA01,206,102,F,1996,1996,57,177,163,15,15,180,75,46,26
OYEDEOL01,208,109,C,2000,2002,93,127,196,11,16,101,50,41,27
PACEJO01,208,100,C,1976,1977,79,255,168,27,14,195,91,122,73
PACKRO01,188,82,G,1991,2003,552,4921,1112,2556,605,4090,1739,1689,1329
PADDIGE01,201,93,F,1990,1993,129,715,184,134,38,725,305,130,97
PADGESC01,206,109,F,1999,2006,448,1874,1227,325,182,1658,679,375,276
PAINEFR01,196,95,F,1948,1948,3,7,0,1,0,19,3,5,1
PALACMI01,190,88,G,1999,2005,470,2243,831,1194,302,2060,863,663,477
PALAZTO01,193,93,F,1954,1959,324,2382,1113,233,0,2429,937,696,508
PALMEJI01,203,102,F,1958,1960,196,1595,1040,165,0,1517,627,485,341
PALMEJO01,193,82,F,1946,1948,148,1737,0,187,0,1916,624,662,489
PALMEWA01,216,98,C,1990,1992,48,100,65,11,4,102,42,24,16
PANKOAN01,206,104,F,2000,2000,1,0,0,0,0,0,0,0,0
PARHAES01,190,91,F,1948,1950,133,716,12,286,0,832,264,359,188
PARISRO01,213,104,C,1976,1996,1611,23334,14715,2180,1219,17914,9614,5694,4106
PARKESO01,198,91,F,1976,1981,452,4471,1841,954,611,3715,1862,989,747
PARKEWI01,193,86,G,2002,2007,274,2469,659,791,336,2129,908,514,364
PARKIJA01,183,79,G,1949,1949,4,3,0,2,0,12,1,1,1
PARKME01,188,93,G,1955,1959,313,1924,967,532,0,1782,675,788,574
PARKSCH01,211,107,F,1995,2003,472,2056,1703,265,207,1848,868,495,312
PARRADO01,183,75,F,1946,1946,58,272,0,20,0,413,110,80,52
PARRJA01,206,100,C,1958,1958,66,262,278,51,0,307,109,73,44
PARSLCH01,188,79,G,1949,1949,9,22,0,8,0,31,8,7,6
PASPAZA01,206,98,F,1989,1989,28,72,30,10,3,79,27,22,18
PASSAMA01,184,77,G,1946,1948,62,151,0,26,0,278,65,36,21
PASTUGE01,185,88,G,1946,1946,39,121,0,15,0,183,48,46,25
PATRIMY01,203,100,F,1980,1980,3,5,2,1,0,5,2,2,1
PATRIST01,188,84,F,1949,1949,53,321,0,74,0,294,116,147,89
PATTEAN01,206,108,F,1998,1999,40,120,67,16,20,101,46,36,28
PATTEGE01,202,104,C,1967,1967,59,120,159,51,0,133,44,38,32
PATTERU01,196,102,F,1998,2007,649,6953,2697,1150,751,5180,2678,2436,1562
PATTEST01,206,102,C,1971,1975,350,1552,1632,443,85,1667,672,350,208
PATTETO01,198,100,F,1972,1973,25,56,24,5,0,50,21,18,14
PATTEWO01,188,79,G,1957,1957,4,7,2,2,0,8,3,2,1
PAULKCH01,203,99,F,1968,1971,120,741,462,41,0,809,317,175,107
PAULSJE01,188,84,G,1957,1957,6,20,10,4,0,23,8,6,4
PAULTBI01,211,107,C,1970,1984,637,5432,3553,1043,275,4657,2285,1340,862
PAVLOAL01,201,95,F,2003,2008,380,2201,723,392,194,2019,831,453,318
PAXSOJI01,198,91,G,1979,1989,784,11199,1593,2300,951,9134,4545,2493,2011
